article_id,source,label,letters_per_word,words_per_sentence,words_per_text,sentences_per_text,LD,LS1,LS2,VS1,VS2,CVS1,T,T50,T50S,T50W,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,MATTR,HDD,MTLD,MTLD-MA,MTLD-bii,LV,VV1,SVV1,CVV1,CVV2,NV,ADJV,ADVV,MODV,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,CT/T,CP/T,CP/C,CN/T,CN/C,T/S
4001041,ai,1,5.07,17.8636,393,22,0.522,0.351,0.421,0.543,0.608,13.729,197,39,38.9,69.2,0.501,0.757,7.027,9.937,0.884,2.956,0.945,0.501,65.5,65.5,65.5,0.766,0.729,37.157,0.729,0.729,0.805,0.75,0.5,0.682,16.09090909,7.866666667,9.076923077,1.772727273,0.844444444,0.866666667,0.435897436,0.377777778,0.266666667,0.444444444,0.512820513,0.044444444,0.051282051,2.045454545
4001341,human,0,5.0848,21.2222,382,18,0.586,0.39,0.523,0.744,0.837,20.5,151,32,36.4,57.5,0.395,0.719,5.463,7.726,0.844,2.815,0.928,0.395,47.75,47.75,47.75,0.54,0.598,29.28,0.598,0.598,0.5,0.818,1,0.833,19.22222222,8.43902439,8.43902439,2.277777778,1.12195122,1,0.56097561,0.56097561,0.317073171,0.243902439,0.243902439,0.048780488,0.048780488,2.277777778
4001341,ai,1,5.3051,22.4118,381,17,0.646,0.443,0.557,0.825,0.884,22.921,158,30,38,59.3,0.417,0.74,5.739,8.116,0.853,2.842,0.945,0.417,42.111,42.111,42.111,0.539,0.683,29.349,0.683,0.683,0.506,0.458,0.75,0.5,20.35294118,9.885714286,9.351351351,2.176470588,1.085714286,1.057142857,0.540540541,0.571428571,0.4,0.257142857,0.243243243,0.085714286,0.081081081,2.058823529
4001441,human,0,5.4224,29.3333,352,12,0.565,0.483,0.491,0.702,0.65,14.383,175,38,37.3,62.4,0.497,0.805,6.596,9.328,0.881,2.92,0.953,0.497,70.4,70.4,70.4,0.678,0.851,34.043,0.851,0.851,0.612,1,0.667,0.889,29.2,12.69565217,11.23076923,2.6,1.130434783,1.130434783,0.615384615,0.695652174,0.391304348,0.304347826,0.269230769,0.130434783,0.115384615,2.3
4001441,ai,1,5.931,22.9412,390,17,0.595,0.395,0.448,0.717,0.7,14.792,172,36,37.1,63.7,0.441,0.751,6.159,8.71,0.863,2.882,0.961,0.441,65,65,60.357,0.595,0.755,30.189,0.755,0.755,0.5,1,0.833,0.947,20.76470588,11.03125,10.38235294,2,0.96875,1.0625,0.5,0.53125,0.40625,0.21875,0.205882353,0.1875,0.176470588,1.882352941
4001541,human,0,4.819,25.6,384,15,0.573,0.349,0.425,0.596,0.622,15.077,212,37,42.9,73.1,0.552,0.802,7.65,10.819,0.9,3.003,0.957,0.552,96,96,96,0.773,0.865,38.942,0.865,0.865,0.752,1,0.5,0.778,22.86666667,10.39393939,10.39393939,2.2,1.090909091,1,0.545454545,0.545454545,0.333333333,0.575757576,0.575757576,0.242424242,0.242424242,2.2
4001541,ai,1,5.2201,24.875,398,16,0.518,0.309,0.431,0.69,0.657,12.595,181,36,35,64.4,0.455,0.709,6.415,9.073,0.868,2.905,0.937,0.455,44.222,44.222,46.986,0.752,0.833,29.167,0.833,0.833,0.712,1,1,1,22.5625,10.61764706,12.03333333,1.875,0.911764706,0.882352941,0.466666667,0.411764706,0.294117647,0.558823529,0.633333333,0.088235294,0.1,2.125
4001741,human,0,4.5881,18.8571,396,21,0.545,0.449,0.48,0.657,0.735,18.514,202,37,42.4,70.2,0.51,0.752,7.178,10.151,0.887,2.968,0.951,0.51,66,66,66,0.718,0.7,34.3,0.7,0.7,0.731,0.875,0.75,0.812,16.47619048,8.871794872,6.92,2.380952381,1.051282051,1.282051282,0.58,0.743589744,0.41025641,0.179487179,0.14,0.153846154,0.12,1.857142857
4001741,ai,1,4.5146,19.85,397,20,0.559,0.501,0.557,0.877,0.86,21.062,192,36,37.2,68.2,0.484,0.751,6.814,9.636,0.879,2.939,0.959,0.484,49.625,49.625,57.896,0.707,0.662,28.446,0.662,0.662,0.739,0.833,0.857,0.842,17.15,9.026315789,8.575,2,0.894736842,1.052631579,0.5,0.526315789,0.315789474,0.184210526,0.175,0.052631579,0.05,1.9
4002041,human,0,4.8865,27.0714,379,14,0.599,0.467,0.536,0.734,0.827,28.891,209,43,41.7,72.5,0.551,0.811,7.591,10.736,0.9,2.999,0.966,0.551,94.75,94.75,94.75,0.709,0.812,42.25,0.812,0.812,0.671,0.923,0.857,0.9,21.25,10.625,10,2.125,0.9375,1.0625,0.529411765,0.5625,0.375,0.15625,0.147058824,0.1875,0.176470588,2
4002041,ai,1,4.6867,23.8667,358,15,0.57,0.447,0.512,0.609,0.688,7.562,166,37,39.3,60.1,0.464,0.778,6.204,8.773,0.869,2.885,0.967,0.464,59.667,59.667,59.667,0.652,0.5,16,0.5,0.5,0.73,0.818,0.429,0.724,21.26666667,14.5,10.29032258,2.066666667,0.863636364,1.409090909,0.516129032,0.727272727,0.545454545,0.363636364,0.258064516,0.318181818,0.225806452,1.466666667
4002241,human,0,5.2774,24.2667,364,15,0.618,0.401,0.454,0.625,0.611,12.1,196,38,41,68.1,0.538,0.806,7.264,10.273,0.895,2.974,0.957,0.538,121.333,121.333,121.333,0.716,0.9,32.4,0.9,0.9,0.644,0.955,0,0.955,22.06666667,10.67741935,11.03333333,2,0.967741935,0.967741935,0.5,0.483870968,0.322580645,0.483870968,0.5,0.451612903,0.466666667,2.066666667
