article_id,ground_truth_letters_per_word,ground_truth_words_per_sentence,ground_truth_words_per_text,ground_truth_sentences_per_text,generated_letters_per_word,generated_words_per_sentence,generated_words_per_text,generated_sentences_per_text,generated_LD,ground_truth_LD,generated_LS1,ground_truth_LS1,generated_LS2,ground_truth_LS2,generated_VS1,ground_truth_VS1,generated_VS2,ground_truth_VS2,generated_CVS1,ground_truth_CVS1,generated_T,ground_truth_T,generated_T50,ground_truth_T50,generated_T50S,ground_truth_T50S,generated_T50W,ground_truth_T50W,generated_TTR,ground_truth_TTR,generated_MSTTR,ground_truth_MSTTR,generated_CTTR,ground_truth_CTTR,generated_RTTR,ground_truth_RTTR,generated_LogTTR,ground_truth_LogTTR,generated_Uber,ground_truth_Uber,generated_MATTR,ground_truth_MATTR,generated_HDD,ground_truth_HDD,generated_MTLD,ground_truth_MTLD,generated_MTLD-MA,ground_truth_MTLD-MA,generated_MTLD-bii,ground_truth_MTLD-bii,generated_LV,ground_truth_LV,generated_VV1,ground_truth_VV1,generated_SVV1,ground_truth_SVV1,generated_CVV1,ground_truth_CVV1,generated_CVV2,ground_truth_CVV2,generated_NV,ground_truth_NV,generated_ADJV,ground_truth_ADJV,generated_ADVV,ground_truth_ADVV,generated_MODV,ground_truth_MODV,ground_truth_MLS,ground_truth_MLT,ground_truth_MLC,ground_truth_C/S,ground_truth_VP/T,ground_truth_C/T,ground_truth_DC/C,ground_truth_DC/T,ground_truth_CT/T,ground_truth_CP/T,ground_truth_CP/C,ground_truth_CN/T,ground_truth_CN/C,ground_truth_T/S,generated_MLS,generated_MLT,generated_MLC,generated_C/S,generated_VP/T,generated_C/T,generated_DC/C,generated_DC/T,generated_CT/T,generated_CP/T,generated_CP/C,generated_CN/T,generated_CN/C,generated_T/S
4001741,4.5881,18.8571,396.0,21.0,4.5146,19.85,397.0,20.0,0.559,0.545,0.501,0.449,0.557,0.48,0.877,0.657,0.86,0.735,21.062,18.514,192,202,36,37,37.2,42.4,68.2,70.2,0.484,0.51,0.751,0.752,6.814,7.178,9.636,10.151,0.879,0.887,2.939,2.968,0.959,0.951,0.484,0.51,49.625,66.0,49.625,66.0,57.896,66.0,0.707,0.718,0.662,0.7,28.446,34.3,0.662,0.7,0.662,0.7,0.739,0.731,0.833,0.875,0.857,0.75,0.842,0.812,16.476190476190474,8.871794871794872,6.92,2.380952380952381,1.0512820512820513,1.2820512820512822,0.58,0.7435897435897436,0.41025641025641024,0.1794871794871795,0.14,0.15384615384615385,0.12,1.8571428571428572,17.15,9.026315789473685,8.575,2.0,0.8947368421052632,1.0526315789473684,0.5,0.5263157894736842,0.3157894736842105,0.18421052631578946,0.175,0.05263157894736842,0.05,1.9
4002041,4.8865,27.0714,379.0,14.0,4.6867,23.8667,358.0,15.0,0.57,0.599,0.447,0.467,0.512,0.536,0.609,0.734,0.688,0.827,7.562,28.891,166,209,37,43,39.3,41.7,60.1,72.5,0.464,0.551,0.778,0.811,6.204,7.591,8.773,10.736,0.869,0.9,2.885,2.999,0.967,0.966,0.464,0.551,59.667,94.75,59.667,94.75,59.667,94.75,0.652,0.709,0.5,0.812,16.0,42.25,0.5,0.812,0.5,0.812,0.73,0.671,0.818,0.923,0.429,0.857,0.724,0.9,21.25,10.625,10.0,2.125,0.9375,1.0625,0.5294117647058824,0.5625,0.375,0.15625,0.14705882352941177,0.1875,0.17647058823529413,2.0,21.266666666666666,14.5,10.290322580645162,2.066666666666667,0.8636363636363636,1.4090909090909092,0.5161290322580645,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.25806451612903225,0.3181818181818182,0.22580645161290322,1.4666666666666666
4002241,5.2774,24.2667,364.0,15.0,5.6187,27.5,385.0,14.0,0.556,0.618,0.426,0.401,0.444,0.454,0.692,0.625,0.656,0.611,11.308,12.1,162,196,37,38,34.5,41.0,60.6,68.1,0.421,0.538,0.734,0.806,5.838,7.264,8.256,10.273,0.855,0.895,2.852,2.974,0.934,0.957,0.421,0.538,48.125,121.333,48.125,121.333,51.562,121.333,0.626,0.716,0.821,0.9,26.256,32.4,0.821,0.9,0.821,0.9,0.561,0.644,0.72,0.955,1.0,0.0,0.741,0.955,22.066666666666666,10.67741935483871,11.033333333333333,2.0,0.967741935483871,0.967741935483871,0.5,0.4838709677419355,0.3225806451612903,0.4838709677419355,0.5,0.45161290322580644,0.4666666666666667,2.066666666666667,23.214285714285715,13.0,10.483870967741936,2.2142857142857144,1.08,1.24,0.5483870967741935,0.68,0.52,0.56,0.45161290322580644,0.64,0.5161290322580645,1.7857142857142858
4002341,4.8837,19.85,397.0,20.0,5.4419,22.0556,397.0,18.0,0.579,0.564,0.383,0.363,0.427,0.46,0.492,0.481,0.537,0.545,12.938,11.077,206,211,42,41,39.2,41.4,72.7,73.8,0.519,0.531,0.794,0.796,7.311,7.488,10.339,10.59,0.89,0.894,2.978,2.991,0.974,0.973,0.519,0.531,99.25,99.25,99.25,99.25,99.25,89.325,0.752,0.777,0.831,0.846,44.862,37.231,0.831,0.846,0.831,0.846,0.701,0.745,0.857,0.9,1.0,1.0,0.889,0.909,17.476190476190474,9.91891891891892,9.657894736842104,1.8095238095238095,0.8648648648648649,1.027027027027027,0.4473684210526316,0.4594594594594595,0.35135135135135137,0.3783783783783784,0.3684210526315789,0.05405405405405406,0.05263157894736842,1.7619047619047619,19.944444444444443,8.348837209302326,10.558823529411764,1.8888888888888888,0.9069767441860465,0.7906976744186046,0.47058823529411764,0.37209302325581395,0.32558139534883723,0.4883720930232558,0.6176470588235294,0.0,0.0,2.388888888888889
4002441,5.9823,28.0714,393.0,14.0,5.6686,26.6667,400.0,15.0,0.57,0.621,0.36,0.42,0.419,0.482,0.516,0.679,0.583,0.689,12.645,18.132,198,195,40,40,38.6,39.4,70.3,70.4,0.495,0.496,0.768,0.798,7.0,6.955,9.9,9.836,0.883,0.883,2.954,2.95,0.957,0.967,0.495,0.496,80.0,98.25,80.0,98.25,73.333,88.425,0.715,0.66,0.774,0.849,37.161,38.208,0.774,0.849,0.774,0.849,0.682,0.591,1.0,1.0,0.714,1.0,0.833,1.0,25.214285714285715,11.387096774193548,11.387096774193548,2.2142857142857144,1.096774193548387,1.0,0.5483870967741935,0.5483870967741935,0.3548387096774194,0.5483870967741935,0.5483870967741935,0.3548387096774194,0.3548387096774194,2.2142857142857144,23.933333333333334,9.447368421052632,11.21875,2.1333333333333333,1.0526315789473684,0.8421052631578947,0.53125,0.4473684210526316,0.34210526315789475,0.47368421052631576,0.5625,0.07894736842105263,0.09375,2.533333333333333
4002541,4.9937,23.25,372.0,16.0,5.5881,23.5,376.0,16.0,0.617,0.565,0.391,0.419,0.487,0.517,0.692,0.75,0.643,0.765,14.019,27.161,187,207,38,38,37.9,40.3,67.0,71.8,0.497,0.556,0.791,0.824,6.819,7.589,9.644,10.732,0.882,0.901,2.939,2.999,0.964,0.967,0.497,0.556,75.2,93.0,75.2,93.0,75.2,93.0,0.69,0.757,0.808,0.911,33.923,46.446,0.808,0.911,0.808,0.911,0.609,0.687,0.952,1.0,1.0,1.0,0.958,1.0,21.0625,9.628571428571428,12.481481481481481,1.6875,0.8857142857142857,0.7714285714285715,0.4074074074074074,0.3142857142857143,0.22857142857142856,0.2571428571428571,0.3333333333333333,0.2571428571428571,0.3333333333333333,2.1875,21.6875,10.515151515151516,9.914285714285715,2.1875,1.0909090909090908,1.0606060606060606,0.5428571428571428,0.5757575757575758,0.48484848484848486,0.45454545454545453,0.42857142857142855,0.36363636363636365,0.34285714285714286,2.0625
4002641,5.2331,21.0526,400.0,19.0,5.447,22.1111,398.0,18.0,0.585,0.595,0.407,0.41,0.465,0.485,0.609,0.568,0.595,0.585,9.766,12.986,187,227,41,41,38.7,40.2,67.5,77.7,0.47,0.568,0.756,0.808,6.628,8.026,9.373,11.35,0.874,0.905,2.923,3.03,0.96,0.97,0.47,0.568,66.333,100.0,66.333,100.0,66.333,100.0,0.665,0.777,0.656,0.716,27.562,37.959,0.656,0.716,0.656,0.716,0.649,0.777,0.889,0.913,1.0,1.0,0.905,0.941,18.94736842105263,10.588235294117647,9.23076923076923,2.0526315789473686,0.8529411764705882,1.1470588235294117,0.5128205128205128,0.5882352941176471,0.4117647058823529,0.3235294117647059,0.28205128205128205,0.029411764705882353,0.02564102564102564,1.7894736842105263,20.055555555555557,9.5,10.93939393939394,1.8333333333333333,0.8157894736842105,0.868421052631579,0.45454545454545453,0.39473684210526316,0.2631578947368421,0.39473684210526316,0.45454545454545453,0.21052631578947367,0.24242424242424243,2.111111111111111
4002741,5.4079,24.0,384.0,16.0,5.403,21.2222,382.0,18.0,0.602,0.607,0.366,0.458,0.38,0.527,0.609,0.5,0.615,0.543,16.0,10.417,200,220,37,38,40.6,40.4,70.9,75.0,0.524,0.573,0.81,0.81,7.236,7.939,10.233,11.227,0.891,0.906,2.972,3.024,0.97,0.969,0.524,0.573,95.5,96.0,95.5,96.0,95.5,96.0,0.735,0.781,0.812,0.767,42.25,35.267,0.812,0.767,0.812,0.767,0.709,0.76,0.923,1.0,0.2,1.0,0.722,1.0,21.25,10.625,10.96774193548387,1.9375,0.9375,0.96875,0.4838709677419355,0.46875,0.375,0.375,0.3870967741935484,0.25,0.25806451612903225,2.0,18.833333333333332,9.685714285714285,9.416666666666666,2.0,0.9142857142857143,1.0285714285714285,0.5,0.5142857142857142,0.45714285714285713,0.2857142857142857,0.2777777777777778,0.11428571428571428,0.1111111111111111,1.9444444444444444
4002841,5.1943,21.3529,363.0,17.0,6.0396,22.8235,388.0,17.0,0.593,0.587,0.387,0.372,0.432,0.445,0.49,0.615,0.611,0.611,9.49,9.308,183,191,36,40,36.7,40.5,66.0,67.3,0.472,0.526,0.759,0.82,6.569,7.089,9.29,10.025,0.874,0.891,2.918,2.961,0.94,0.963,0.472,0.526,64.667,90.75,64.667,90.75,64.667,90.75,0.674,0.685,0.706,0.692,25.412,24.923,0.706,0.692,0.706,0.692,0.659,0.667,0.875,1.0,0.5,1.0,0.75,1.0,19.9375,11.814814814814815,9.382352941176471,2.125,0.8888888888888888,1.2592592592592593,0.5294117647058824,0.6666666666666666,0.2962962962962963,0.2962962962962963,0.23529411764705882,0.14814814814814814,0.11764705882352941,1.6875,19.470588235294116,10.030303030303031,13.791666666666666,1.411764705882353,0.6666666666666666,0.7272727272727273,0.2916666666666667,0.21212121212121213,0.21212121212121213,0.5151515151515151,0.7083333333333334,0.09090909090909091,0.125,1.9411764705882353
4002941,5.4041,170.5,341.0,2.0,5.6735,32.1667,386.0,12.0,0.544,0.501,0.472,0.428,0.57,0.586,0.706,0.812,0.719,0.786,15.559,7.562,200,133,36,31,37.5,33.4,69.1,63.8,0.518,0.39,0.756,0.704,7.198,5.093,10.18,7.202,0.89,0.839,2.969,2.773,0.945,0.906,0.518,0.39,64.333,37.889,64.333,37.889,64.333,35.994,0.767,0.579,0.941,0.875,30.118,12.25,0.941,0.875,0.941,0.875,0.688,0.529,0.92,0.867,1.0,0.0,0.943,0.867,154.0,77.0,28.0,5.5,2.5,2.75,0.8181818181818182,2.25,0.75,2.0,0.7272727272727273,3.0,1.0909090909090908,2.0,28.666666666666668,14.956521739130435,14.333333333333334,2.0,0.8695652173913043,1.0434782608695652,0.5,0.5217391304347826,0.30434782608695654,0.6521739130434783,0.625,0.391304347826087,0.375,1.9166666666666667
