Metric,Human_Mean,Human_Median,Human_Std,AI_Mean,AI_Median,AI_Std,t_stat,p_value,Significant
letters_per_word,5.155390625000001,5.20465,0.40229677772886996,5.3755328124999995,5.38405,0.4289771259875469,-2.994611854729951,0.0033088214895045836,True
words_per_sentence,27.215670312500002,24.65625,19.103417365916663,23.561346874999998,23.176450000000003,3.3114323073289333,1.5078469475949126,0.13409698438969028,False
words_per_text,382.65625,386.0,14.836911018518261,387.046875,387.5,9.554238961992585,-1.9904207393323161,0.048708892756402514,True
sentences_per_text,16.046875,15.0,4.53007476549255,16.75,17.0,2.3970881806958513,-1.097519522627441,0.274507342701102,False
LD,0.57784375,0.5734999999999999,0.03163693779956165,0.58384375,0.5854999999999999,0.03511487666918485,-1.0155573987510413,0.3117863289711388,False
LS1,0.425640625,0.4285,0.052108972260824386,0.40979687500000006,0.4085,0.04713142034492658,1.803968318148877,0.07362528522356812,False
LS2,0.47128125,0.471,0.061307569316973856,0.469828125,0.462,0.05231241762429273,0.14424356922668702,0.8855385943043396,False
VS1,0.6607812500000001,0.6555,0.10540947650991936,0.666359375,0.689,0.12625765633707195,-0.2713171880901185,0.7865910951216488,False
VS2,0.6592968749999999,0.659,0.09778591447363187,0.6677500000000001,0.6575,0.10877353786506415,-0.46234231277281823,0.6446332474804898,False
CVS1,13.178171875,12.522,5.2465677323360715,13.819796875,13.646999999999998,4.837167753832839,-0.719295220466995,0.47329100850617145,False
T,193.015625,194.5,18.432624792634165,186.15625,186.5,11.60216010265412,2.5195043500877627,0.013002666531470463,True
T50,38.734375,39.0,3.2231414602862025,38.453125,38.0,3.131659570685592,0.5006688391579264,0.6174776462061345,False
T50S,39.453125,39.7,1.767696802092199,38.184375,38.25,1.5278596659150858,4.344154206650081,2.8481913364234492e-05,True
T50W,68.95,68.95,4.635782155200587,67.0640625,67.30000000000001,3.184903237298172,2.6824994754730165,0.008287609730270299,True
TTR,0.5045000000000001,0.512,0.045435109841940595,0.481171875,0.486,0.028784671123128484,3.4697854555348,0.0007136975409227179,True
MSTTR,0.7850000000000001,0.794,0.03214846511925274,0.77375,0.7755000000000001,0.02607863566399206,2.174129300400832,0.03156420139880953,True
CTTR,6.976515625,7.0695,0.634285249339571,6.691296875,6.7385,0.40029579062248377,3.042185966600348,0.0028585549123501365,True
RTTR,9.866328124999999,9.9975,0.8970989054616865,9.463015625,9.529499999999999,0.5660891032053674,3.041644461678344,0.002863344865364266,True
LogTTR,0.88421875,0.8875,0.0157040776728707,0.8769375,0.879,0.010199400853862837,3.1107247770931536,0.002308700320754414,True
Uber,2.9492812500000003,2.9595000000000002,0.05314713591112465,2.927359375,2.932,0.0343610000351081,2.7710882384685886,0.0064336127653904064,True
MATTR,0.9550624999999999,0.958,0.014792613987102757,0.9592968749999999,0.963,0.012558029983380828,-1.7457501201787848,0.08329189882286663,False
HDD,0.5045000000000001,0.512,0.045435109841940595,0.481171875,0.486,0.028784671123128484,3.4697854555348,0.0007136975409227179,True
MTLD,81.44415625,76.9,25.610221924513212,74.17476562499999,75.4,16.737083879381924,1.900846074661695,0.05960636080812364,False
MTLD-MA,81.44415625,76.9,25.610221924513212,74.17476562499999,75.4,16.737083879381924,1.900846074661695,0.05960636080812364,False
MTLD-bii,81.125515625,77.6,23.084375093557746,73.69309375,72.14150000000001,16.275552321078102,2.1051266512546305,0.03726612485070687,True
LV,0.687921875,0.691,0.07059392138216372,0.679140625,0.6785000000000001,0.058966729168315954,0.7637414129924012,0.4464491174931611,False
VV1,0.74534375,0.76,0.09121998854156806,0.7457499999999999,0.7555000000000001,0.07720391469637045,-0.027195433207465522,0.978346884080894,False
SVV1,29.8233125,29.0855,7.583005323884685,30.5664375,30.503,6.650800717696172,-0.5894085185131268,0.5566426236547997,False
CVV1,0.74534375,0.76,0.09121998854156806,0.7457499999999999,0.7555000000000001,0.07720391469637045,-0.027195433207465522,0.978346884080894,False
CVV2,0.74534375,0.76,0.09121998854156806,0.7457499999999999,0.7555000000000001,0.07720391469637045,-0.027195433207465522,0.978346884080894,False
NV,0.664984375,0.668,0.0790359556889563,0.6481875,0.6535,0.07541691002328534,1.230037400616519,0.22097475551959797,False
ADJV,0.8647343749999999,0.9,0.1394893455779398,0.8469687499999999,0.889,0.13869401845057436,0.7225244464289653,0.4713110267126196,False
ADVV,0.7495,0.775,0.2603649453400068,0.782234375,0.789,0.23373962872756182,-0.7484461297486612,0.4555859074601636,False
MODV,0.8215000000000001,0.841,0.12364644938066134,0.818796875,0.833,0.11997131663642017,0.1255199465131673,0.9003119902285251,False
MLS,23.386513633906247,21.25,17.281589685049774,20.97473702734375,20.382352945,2.998603159292098,1.100024000882983,0.2734188858708207,False
MLT,12.154760294343749,10.889583335000001,8.636242248973065,10.9238322488125,10.804901959999999,1.9142397690664925,1.1132258236629415,0.26773069552196466,False
MLC,11.003985153406251,10.448306595,3.0735188413155625,10.965126884093749,10.88905181,1.5620446491106341,0.09016674980096577,0.9282978822097135,False
C/S,2.055935133203125,2.0669642855,0.5412221459230038,1.9281051588125,1.8819444445,0.24541439890239145,1.7208511481975517,0.08773247218589651,False
VP/T,0.939630063875,0.909090909,0.24995409424503184,0.8921979064375001,0.8838383839999999,0.11815983015753405,1.3724797664758925,0.17235231217517763,False
C/T,1.07206201275,1.028219396,0.27701786850101556,1.002126227734375,1.0,0.15200044108394242,1.7706411667769708,0.07903859320897201,False
DC/C,0.49194788221875,0.516196447,0.09597826221605954,0.473052564734375,0.46862745100000003,0.06713479325796547,1.2905784824514204,0.19921306271542827,False
DC/T,0.548008417515625,0.5554878050000001,0.269453874426496,0.480331444015625,0.462912088,0.12603664617961524,1.820045648601718,0.07112566888047654,False
CT/T,0.356046374078125,0.3530950305,0.10901240786736086,0.36089745042187504,0.3463268365,0.07986769542312849,-0.28717547079051076,0.7744497058014661,False
CP/T,0.376809679953125,0.30901856800000005,0.2664269547866725,0.41980782514062503,0.4085850555,0.1264980593774301,-1.1663189233179396,0.2456883598773644,False
CP/C,0.35051585178125,0.298573975,0.1736831287304818,0.428715538671875,0.424242424,0.14052787812968084,-2.8001686503231573,0.005912847811621286,True
